id,title,27/01/2024,28/01/2024,29/01/2024,30/01/2024,31/01/2024,01/02/2024,02/02/2024,03/02/2024,04/02/2024,05/02/2024,06/02/2024,07/02/2024,08/02/2024,09/02/2024,10/02/2024,11/02/2024,12/02/2024,13/02/2024,14/02/2024,15/02/2024,16/02/2024,17/02/2024,18/02/2024,19/02/2024,20/02/2024,21/02/2024,22/02/2024,23/02/2024,24/02/2024,25/02/2024,26/02/2024,27/02/2024,28/02/2024,29/02/2024
9636x,薬屋のひとりごと,625488,626344,627222,628654,629418,630456,631062,631684,632318,632800,633292,633780,634194,634666,635134,635780,636474,636922,637346,637774,638136,638492,639312,640082,0,0,0,0,0,0,0,0,0,0
4395il,捨てられ公爵夫人は、平穏な生活をお望みのようです,200914,201582,202210,202798,203380,203898,204460,205062,205608,206192,206664,207142,207606,208098,208472,208970,209614,210254,210780,211196,211518,211944,212546,213176,0,0,0,0,0,0,0,0,0,0
9151in,忠告はしましたよ？,0,55270,55302,0,55374,55424,55462,55498,55516,55586,55640,55658,55680,55726,55748,55824,55912,55934,55944,55974,55978,56028,56072,56124,0,0,0,0,0,0,0,0,0,0
2256im,『魔物を倒したら魔力が溜まる』というスキルを授かり「本末転倒！」と僻地に追放されましたが、おかげさまで廃墟のリノベーションがはかどります,66470,66850,67120,67334,67614,67872,68104,68392,68654,68910,69070,69282,69454,69630,69786,70000,70230,70416,70600,70770,70864,71050,71406,71802,0,0,0,0,0,0,0,0,0,0
9043in,初夜に寝取られたので、しっかりお仕置きしようと思います,41216,41276,0,0,41416,41440,41484,41576,41642,41696,41768,41826,41886,41908,41978,41988,42042,42080,42100,42128,42172,42232,42278,42310,0,0,0,0,0,0,0,0,0,0
0356io,【短編】傲慢天才魔法使いの婚約者へ意趣返しで家を出てやった騎士令嬢のその後。,53824,0,53952,54020,0,54074,54158,54474,55230,56122,56602,56986,57306,57436,57560,57784,58014,58126,58236,58352,58464,58514,58594,58708,0,0,0,0,0,0,0,0,0,0
0277io,聖女様をお探しでしたら妹で間違いありません。さあどうぞお連れください、今すぐ。,68216,68268,68330,68380,68420,68500,68548,68596,68634,68698,68714,68794,68846,68896,68930,69014,69064,69100,69108,69172,69234,69288,69294,69378,0,0,0,0,0,0,0,0,0,0
2961in,【完結・連載版】勇者な王太子殿下が魔王に呪われましたが私が即座に口付けします　〜報酬に3食とおやつと昼寝付き生活ありだと思う〜,56290,56356,56398,56478,56534,56576,56616,56682,56710,56772,56864,56926,57002,57032,57100,57156,57242,57302,57356,57412,57442,57508,57622,57670,0,0,0,0,0,0,0,0,0,0
1209io,目覚めたらギロチンで処刑された悪役令嬢の中にいました,41964,42072,42094,42144,42174,42228,42264,42344,42436,42458,42558,42588,42650,42726,42780,42810,42848,42886,42920,42974,43014,43060,43086,43126,0,0,0,0,0,0,0,0,0,0
1717io,伯爵夫人がゴボウで素振りをしている,48126,48186,48208,48262,48320,48366,48368,48404,48484,48514,48562,48584,48640,48680,48710,48770,48842,48874,48898,48918,48962,49020,49022,49122,0,0,0,0,0,0,0,0,0,0
